Country,Continent,Real_GDP_PPP_billion_USD,GDP_Official_Exchange_Rate_billion_USD,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Unemployment_Rate_percent,Youth_Unemployment_Rate_percent,Budget_billion_USD,Budget_Surplus_billion_USD,Budget_Deficit_percent_of_GDP,Public_Debt_percent_of_GDP,Exports_billion_USD,Imports_billion_USD,Exchange_Rate_per_USD,Population_Below_Poverty_Line_percent
Afghanistan,Asia,60.8,20.24,-20.74,1500.0,13.28,20.2,5.09,15.1,-15.1,7.0,1.48,6.98,76.814,54.5
Albania,Europe,40.82,15.27,8.52,14500.0,11.82,27.8,4.19,2.0,-2.0,84.06,5.61,8.0,103.52,14.3
Algeria,Africa,487.72,169.91,3.5,11000.0,12.7,31.9,55.19,9.6,-9.6,27.5,41.78,44.32,135.064,5.5
Andorra,Europe,1798.0,1393351000000.0,5.52,37900.0,14.73,36.9,546.08,3.1,-3.1,141.22,497.87,476.68,0.845,20.7
Angola,Africa,203.87,97.26,1.1,5900.0,8.53,18.5,17.9,6.7,-6.7,65.0,33.67,18.84,631.442,32.3
Antigua And Barbuda,North America,1.78,1.52,5.27,19100.0,11.0,,278.0,2.4,-2.4,86.8,749.48,868.8,2.7,
Argentina,South America,986.13,447.47,10.4,21500.0,10.9,29.9,150.82,6.0,-6.0,57.6,87.42,72.36,94.991,35.5
Armenia,Asia,39.61,13.69,5.7,14200.0,20.9,36.1,3.26,4.8,-4.8,63.4,5.01,6.12,503.77,26.4
Australia,Oceania,1279.0,1390790000000.0,2.24,49800.0,5.11,10.8,479.33,0.5,-0.5,69.41,389.79,298.71,1.331,
Austria,Europe,484.7,445.02,4.56,54100.0,6.3,11.4,218.48,0.7,-0.7,99.91,268.28,265.77,0.845,13.3
Azerbaijan,Asia,146.31,48.1,5.6,14400.0,6.58,16.5,19.95,1.6,-1.6,54.1,25.49,16.34,1.7,4.9
Bahamas,North America,12.32,12.16,13.72,30200.0,13.24,30.8,2.09,2.6,-2.6,84.45,3.2,4.92,1.0,9.3
Bahrain,Asia,72.27,38.47,2.23,49400.0,1.87,9.9,9.17,10.1,-10.1,88.5,35.23,27.58,0.376,
Bangladesh,Asia,1001.0,329.55,6.94,5900.0,5.23,14.7,30.02,3.2,-3.2,33.1,49.39,85.3,85.084,24.3
Barbados,North America,3.87,4.99,-0.19,13800.0,10.41,30.6,1.27,4.0,-4.0,146.93,357.0,2.12,2.0,
Belarus,Europe,184.48,63.17,2.3,19800.0,4.74,11.3,24.74,2.9,2.9,33.24,49.42,45.46,2.539,5.0
Belgium,Europe,599.81,533.03,6.13,51700.0,6.42,19.6,267.11,1.0,-1.0,119.43,515.62,509.02,0.845,14.8
Belize,North America,3.5,1.85,15.23,8800.0,8.22,19.3,583.0,1.0,-1.0,99.0,1.04,1.25,2.0,41.0
Benin,Africa,43.17,10.31,7.16,3300.0,1.57,3.9,2.02,6.2,-6.2,54.6,3.51,3.94,554.608,38.5
Bhutan,Asia,8.48,2.4,4.09,10900.0,4.33,18.8,710.0,3.4,-3.4,117.33,741.6,1.03,73.939,8.2
Bolivia,South America,97.27,40.82,6.11,8100.0,8.51,17.4,11.8,7.8,-7.8,49.0,11.44,10.8,6.91,37.2
Bosnia and Herz.,Europe,51.24,20.08,7.55,15700.0,15.22,32.9,8.43,2.1,2.1,46.05,9.95,12.73,1.654,16.9
Botswana,Africa,38.41,18.34,11.37,14800.0,24.72,41.2,3.83,1.0,-1.0,19.66,7.93,9.28,11.087,19.3
Brazil,South America,3128.0,1877942000000.0,4.62,14600.0,14.4,31.9,424.2,1.1,-1.1,100.59,317.18,297.92,5.394,4.2
Brunei,Asia,26.78,12.13,-1.59,60100.0,7.65,23.4,1.06,17.3,-17.3,2.8,11.2,9.22,1.344,
Bulgaria,Europe,167.8,68.49,7.63,24400.0,5.42,14.2,24.49,1.8,1.8,32.24,51.51,50.06,1.654,23.8
Burkina Faso,Africa,48.17,14.27,6.91,2200.0,4.76,7.7,3.21,7.9,-7.9,72.53,5.36,4.78,554.531,41.4
Burundi,Africa,8.85,3.03,1.8,700.0,1.79,3.4,747.0,5.7,-5.7,51.7,285.11,905.29,1.0,64.6
Cabo Verde,Africa,3.6,1.97,6.95,6100.0,15.42,34.3,583.0,3.0,-3.0,125.8,459.92,1.12,93.218,35.0
Cambodia,Asia,72.24,22.09,3.03,4400.0,0.61,1.8,7.25,1.8,-1.8,30.4,20.13,32.83,4.0,16.5
Cameroon,Africa,100.65,,3.65,3700.0,3.87,6.6,6.12,3.4,-3.4,36.9,7.45,9.03,554.531,37.5
Canada,North America,1832.0,,4.54,47900.0,7.51,14.0,686.72,1.0,-1.0,72.09,611.15,609.26,1.254,9.4
Central African Rep.,Africa,4.48,,0.9,800.0,6.57,11.8,418.0,0.9,-0.9,52.9,113.7,393.1,554.531,62.0
Chad,Africa,24.49,,-1.2,1400.0,1.88,2.4,2.29,1.5,-1.5,52.5,2.46,2.16,554.531,42.3
Chile,South America,496.08,,11.67,25400.0,9.13,21.4,55.16,2.8,-2.8,23.6,100.63,102.09,758.955,8.6
China,Asia,17730.0,14722.0,3.0,12500.0,5.2,16.7,3560.0,,7.2,76.9,3593.0,2714.0,6.73,1.7
Colombia,South America,754.64,,10.68,14600.0,14.34,26.4,94.98,2.7,-2.7,90.4,50.79,70.84,3.0,35.7
Comoros,Africa,2.65,,2.11,3200.0,9.45,21.7,223.0,6.5,-6.5,32.4,139.57,407.0,415.956,42.4
Dem. Rep. Congo,Africa,102.96,,6.2,1100.0,5.43,10.1,5.42,0.9,-0.9,18.1,22.35,22.19,1.0,63.0
Congo,Africa,18.88,,-2.2,3200.0,23.01,42.3,3.4,7.0,-7.0,130.8,4.67,3.28,554.531,40.9
Costa Rica,North America,146.32,,7.04,5300.0,3.47,5.7,8.8,4.2,-4.2,47.0,13.23,12.66,554.531,39.5
Croatia,Europe,123.35,,13.07,31600.0,8.68,23.6,212.81,0.8,0.8,104.89,35.31,36.33,0.845,18.3
Cuba,North America,137.0,,1.25,12300.0,2.76,7.4,54.52,10.8,-10.8,47.7,2.63,11.06,1.0,
Cyprus,Europe,,,,,,11.8,,,,,,,,
Czechia,Europe,428.02,,3.54,40700.0,2.89,7.6,103.84,1.6,1.6,34.7,204.78,196.24,21.678,10.1
Denmark,Europe,352.44,350.04,3.8,59700.0,4.8,10.1,185.65,1.1,1.1,35.3,234.26,208.12,6.287,12.5
Djibouti,Africa,5.43,3.32,4.81,4900.0,28.39,79.9,725.0,9.0,-9.0,31.8,5.16,5.48,177.721,21.1
Dominica,North America,787.7,557.0,6.68,10900.0,23.0,,180.0,5.9,-5.9,82.7,104.96,302.0,2.7,29.0
Dominican Rep.,North America,32.86,8.61,-1.8,2900.0,15.73,35.7,1.18,1.0,-1.0,31.1,1.24,5.22,89.227,58.5
Ecuador,South America,189.88,,4.24,10700.0,6.43,14.2,35.91,4.5,4.24,45.4,29.32,28.57,1.0,25.0
Egypt,Africa,1264.0,,3.33,11600.0,9.33,24.3,71.16,8.6,-8.6,103.0,58.34,94.04,15.645,32.5
El Salvador,North America,57.37,,10.28,9100.0,5.94,13.7,6.45,2.5,-2.5,71.41,8.49,15.75,1.0,22.8
Eq. Guinea,Africa,23.92,,-0.95,14600.0,9.24,18.3,2.6,3.3,-3.3,37.4,8.78,6.25,554.531,44.0
Eritrea,Africa,9.7,,5.0,1600.0,8.05,14.6,633.0,9.8,-9.8,131.2,624.3,1.13,15.075,50.0
Estonia,Europe,51.53,,8.01,38700.0,6.33,17.1,12.28,0.3,-0.3,23.77,29.06,29.23,0.845,21.7
eSwatini,Africa,10.56,,7.88,8900.0,25.76,50.9,1.13,8.5,-8.5,28.4,2.13,2.17,14.783,58.9
Ethiopia,Africa,278.94,,5.64,2300.0,3.69,5.7,11.31,3.2,-3.2,31.45,9.5,20.86,43.734,23.5
Fiji,Oceania,9.58,,-5.11,10400.0,5.24,18.1,885.0,4.0,-4.0,48.9,1.17,2.34,2.071,29.9
Finland,Europe,275.55,,2.1,49600.0,7.53,18.1,140.64,0.6,-0.6,61.3,116.91,116.28,0.845,12.2
France,Europe,3048.0,2778.0,6.8,45900.0,8.1,18.8,1392.0,,7.0,123.0,569.1,571.4,0.85,13.6
Gabon,Africa,32.34,16.06,1.46,13800.0,22.26,38.4,3.3,1.9,-1.9,62.7,10.8,5.02,554.531,33.4
Gambia,Africa,5.48,1.75,4.27,2100.0,11.21,15.5,252.0,2.6,-2.6,88.0,135.45,726.0,51.484,48.6
Georgia,Asia,57.43,17.69,10.47,15500.0,10.66,28.3,4.74,3.8,-3.8,65.88,8.09,11.15,3.222,19.5
Germany,Europe,4260.0,4230.0,1.8,51200.0,3.0,7.5,1797.0,12.8,,63.9,1813.0,1665.0,0.85,14.8
Ghana,Africa,178.46,65.36,5.36,5400.0,4.7,9.6,9.49,6.0,-6.0,71.8,23.9,25.97,5.806,23.4
Greece,Europe,314.43,209.79,8.43,29500.0,14.8,36.9,98.52,0.8,0.8,252.29,87.52,103.53,0.845,17.9
Grenada,North America,1.71,1.12,4.69,13700.0,24.0,,323.0,3.2,3.2,70.4,393.77,650.0,2.7,38.0
Guatemala,North America,152.73,76.68,7.98,8900.0,3.57,7.2,8.65,1.3,-1.3,31.56,15.32,27.39,7.734,59.3
Guinea,Africa,,,,,,8.2,,,,,,,,
Guinea-Bissau,Africa,58.99,23.58,6.06,3500.0,3.72,5.0,4.76,3.6,-3.6,48.3,5.29,8.96,554.531,46.7
Guyana,South America,17.64,3.56,20.06,21900.0,16.42,29.9,1.33,4.5,-4.5,52.2,4.64,6.61,208.5,35.0
Haiti,North America,,,,,,,,,,,,,,
Vatican,Europe,,,,,,,315.0,,,,,,0.885,
Honduras,North America,57.27,25.14,12.53,5600.0,8.51,15.5,6.48,2.7,-2.7,39.5,7.94,14.49,24.017,48.3
Hungary,Europe,326.19,163.25,7.12,33600.0,4.12,13.5,70.83,2.0,-2.0,96.11,148.23,147.58,303.141,12.3
