Country,Continent,electricity_access_percent,electricity_generating_capacity_kW,coal_metric_tons,petroleum_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,natural_gas_cubic_meters,carbon_dioxide_emissions_Mt
Afghanistan,Asia,97.0,776000.0,2096000.0,0.0,0.0,0.0,34210.0,80193000.0,7893000.0
Albania,Europe,100.0,2531000.0,9000.0,16100.0,5638.0,3250.0,26660.0,42050000.0,3.0
Algeria,Africa,99.0,21694000.0,0.0,1414800.0,627900.0,578800.0,82930.0,87853976000.0,151.0
Andorra,Europe,100.0,115837000.0,546000.0,47200.0,1.0,562400.0,464800.0,57990000.0,280.0
Angola,Africa,48.0,7344000.0,0.0,1197600.0,53480.0,30340.0,111600.0,6767715000.0,19.0
Antigua And Barbuda,North America,100.0,117000.0,,0.0,0.0,91.0,5065.0,,729000.0
Argentina,South America,100.0,44731000.0,829000.0,690200.0,669800.0,58360.0,121400.0,41194148000.0,193.0
Armenia,Asia,100.0,3633000.0,0.0,0.0,0.0,0.0,7145.0,0.0,6.0
Australia,Oceania,100.0,82517000.0,504051000.0,442500.0,462500.0,64120.0,619600.0,142104321000.0,417000000.0
Austria,Europe,100.0,28376000.0,1327000.0,20100.0,186500.0,49960.0,135500.0,924500000.0,65.0
Azerbaijan,Asia,100.0,7677000.0,0.0,711700.0,138900.0,46480.0,5576.0,23075000000.0,35.0
Bahamas,North America,100.0,578000.0,,0.0,0.0,,19150.0,0.0,3.0
Bahrain,Asia,100.0,6982000.0,,185300.0,274500.0,245300.0,14530.0,18271840000.0,43.0
Bangladesh,Asia,98.0,18461000.0,1016000.0,13500.0,26280.0,901.0,81570.0,28629927000.0,96.0
Barbados,North America,100.0,311000.0,,1000.0,0.0,0.0,10630.0,14923000.0,1.0
Belarus,Europe,100.0,11360000.0,0.0,34300.0,477200.0,351200.0,14630.0,68951000.0,54.0
Belgium,Europe,100.0,26929000.0,1105000.0,11400.0,731700.0,680800.0,601400.0,0.0,128.0
Belize,North America,97.0,204000.0,,1300.0,36.0,0.0,4161.0,,541000.0
Benin,Africa,41.0,475000.0,0.0,0.0,0.0,1514.0,38040.0,0.0,6.0
Bhutan,Asia,100.0,2334000.0,174000.0,0.0,0.0,0.0,3120.0,,934000.0
Bolivia,South America,98.0,3834000.0,,65400.0,65960.0,9686.0,20620.0,15328422000.0,17.0
Bosnia and Herz.,Europe,100.0,4775000.0,6966000.0,0.0,0.0,4603.0,18280.0,0.0,16.0
Botswana,Africa,73.0,766000.0,1876000.0,0.0,,,21090.0,,5.0
Brazil,South America,99.0,195037000.0,13993000.0,3629100.0,2811000.0,279000.0,490400.0,25395979000.0,456000000.0
Brunei,Asia,100.0,1261000.0,,107300.0,10310.0,0.0,6948.0,12498299000.0,9.0
Bulgaria,Europe,99.0,11097000.0,22298000.0,4500.0,144300.0,92720.0,49260.0,62439000.0,38.0
Burkina Faso,Africa,18.0,392000.0,,0.0,0.0,0.0,23580.0,,4.0
Burundi,Africa,10.0,100000.0,,0.0,,,1374.0,,715000.0
Cabo Verde,Africa,95.0,205000.0,,0.0,,,5607.0,,1.0
Cambodia,Asia,82.0,2954000.0,0.0,0.0,,,43030.0,,13.0
Cameroon,Africa,65.0,1754000.0,,63200.0,39080.0,8545.0,14090.0,2678486000.0,7.0
Canada,North America,100.0,153251000.0,48328000.0,5468100.0,2009000.0,379500.0,405700.0,178723494000.0,612000000.0
Central African Rep.,Africa,15.0,38000.0,,0.0,,,2799.0,,285000.0
Chad,Africa,11.0,87000.0,,87900.0,,,2285.0,,1.0
Chile,South America,100.0,29808000.0,542000.0,11900.0,216200.0,7359.0,166400.0,1109962000.0,88.0
China,Asia,100.0,2380000000.0,3693000000.0,4670000.0,13790000.0,848400.0,1280000.0,194000000000.0,11535200000.0
Colombia,South America,99.0,19769000.0,51395000.0,756400.0,303600.0,56900.0,57170.0,11305086000.0,81.0
Comoros,Africa,87.0,35000.0,,0.0,,,1241.0,,326000.0
Dem. Rep. Congo,Africa,20.0,2919000.0,0.0,22000.0,0.0,0.0,21140.0,368000.0,2.0
Congo,Africa,49.0,629000.0,,270900.0,15760.0,5766.0,7162.0,1400000000.0,4.0
Costa Rica,North America,71.0,2197000.0,,33000.0,69360.0,31450.0,7405.0,2425000000.0,11.0
Croatia,Europe,100.0,4940000.0,0.0,12200.0,74620.0,40530.0,35530.0,851005000.0,16.0
Cuba,North America,100.0,7479000.0,0.0,38400.0,104100.0,24190.0,52750.0,976023000.0,16.0
Cyprus,Europe,,,,,,,,,
Czechia,Europe,100.0,22485000.0,33806000.0,6300.0,177500.0,52200.0,83860.0,189185000.0,99.0
Denmark,Europe,100.0,17655000.0,0.0,69000.0,183900.0,133700.0,109700.0,1315000000.0,33.0
Djibouti,Africa,65.0,130000.0,,0.0,,403.0,6692.0,,610000.0
Dominica,North America,100.0,42000.0,,0.0,,,1237.0,,182000.0
Dominican Rep.,North America,47.0,3453000.0,,0.0,,,20030.0,0.0,3.0
Ecuador,South America,100.0,9354000.0,0.0,478000.0,137400.0,25870.0,153900.0,342407000.0,36.0
Egypt,Africa,100.0,59826000.0,262000.0,660800.0,547500.0,47360.0,280200.0,64292955000.0,235.0
El Salvador,North America,97.0,2586000.0,0.0,0.0,0.0,347.0,49280.0,,7.0
Eq. Guinea,Africa,66.0,349000.0,,142600.0,,,5094.0,4569369000.0,4.0
Eritrea,Africa,52.0,228000.0,,0.0,,,3897.0,,798000.0
Estonia,Europe,100.0,3030000.0,0.0,21800.0,,27150.0,35520.0,0.0,4.0
eSwatini,Africa,82.0,286000.0,108000.0,0.0,,,5279.0,,1.0
Ethiopia,Africa,54.0,4856000.0,0.0,0.0,,,69970.0,,16.0
Fiji,Oceania,92.0,393000.0,,0.0,,,17460.0,,1.0
Finland,Europe,100.0,20418000.0,762000.0,8300.0,310600.0,166200.0,122200.0,0.0,41.0
France,Europe,100.0,138611000.0,2312000.0,81500.0,1.0,440600.0,886800.0,16226000.0,338.0
Gabon,Africa,91.0,784000.0,,175000.0,16580.0,4662.0,10680.0,319102000.0,2.0
Gambia,Africa,63.0,137000.0,,0.0,,42.0,3738.0,,606000.0
Georgia,Asia,100.0,4579000.0,99000.0,300.0,247.0,2052.0,28490.0,6088000.0,10.0
Germany,Europe,100.0,218000000.0,114860000.0,135000.0,2158000.0,494000.0,883800.0,5129000000.0,726881000.0
Ghana,Africa,86.0,5312000.0,0.0,185700.0,2073.0,2654.0,85110.0,1598653000.0,18.0
Greece,Europe,100.0,21545000.0,13851000.0,4800.0,655400.0,371900.0,192200.0,5748000.0,70.0
Grenada,North America,93.0,55000.0,,0.0,,,1886.0,0.0,316000.0
Guatemala,North America,97.0,5185000.0,0.0,10300.0,1162.0,10810.0,97900.0,,19.0
Guinea,Africa,,,,,,,,,
Guinea-Bissau,Africa,67.0,1312000.0,0.0,0.0,17590.0,4063.0,32050.0,60003000.0,10.0
Guyana,South America,92.0,380000.0,,110200.0,,,13720.0,,2.0
Haiti,North America,,,,,,,,,
Vatican,Europe,100.0,,,,,,,,
Honduras,North America,94.0,3991000.0,0.0,0.0,,12870.0,56120.0,,8.0
Hungary,Europe,100.0,10873000.0,6956000.0,35200.0,152400.0,58720.0,82110.0,1685000000.0,48.0
Iceland,Europe,100.0,2967000.0,0.0,0.0,,2530.0,20220.0,,3.0
India,Asia,99.0,432768000.0,743214000.0,771400.0,4897000.0,1305000.0,653300.0,27734833000.0,2314738000.0
Indonesia,Asia,99.0,69065000.0,563728000.0,842300.0,950000.0,79930.0,591500.0,62612013000.0,563.0
Iran,Asia,100.0,80553000.0,2783000.0,3450300.0,1.0,397200.0,64160.0,237561415000.0,646.0
Iraq,Asia,100.0,28369000.0,,,398000.0,8284.0,255100.0,10711000000.0,143.0
Ireland,Europe,100.0,11430000.0,0.0,600.0,64970.0,37040.0,126600.0,2652000000.0,35.0
Israel,Asia,100.0,18993000.0,0.0,0.0,294300.0,111700.0,98860.0,10474000000.0,61.0
Italy,Europe,100.0,121442000.0,1456000.0,107700.0,1.0,615900.0,422500.0,3888491000.0,332.0
Jamaica,North America,100.0,1216000.0,0.0,3000.0,24250.0,823.0,30580.0,0.0,10.0
Japan,Asia,100.0,306000000.0,0.0,3200.0,3467000.0,370900.0,582500.0,2321000000.0,1135887000.0
Jordan,Asia,99.0,5644000.0,0.0,0.0,67240.0,,68460.0,115872000.0,23.0
Kazakhstan,Asia,100.0,25022000.0,102338000.0,1864900.0,290700.0,105900.0,39120.0,25786000000.0,263.0
Kenya,Africa,76.0,3304000.0,0.0,0.0,13960.0,173.0,90620.0,0.0,17.0
Kiribati,Oceania,92.0,11000.0,,0.0,,,420.0,,76000.0
North Korea,Asia,52.0,8413000.0,16376000.0,0.0,11270.0,0.0,8260.0,,18.0
South Korea,Asia,100.0,135789000.0,16364000.0,37400.0,3.0,1.0,908800.0,240042000.0,686.0
Kosovo,Europe,100.0,1424000.0,8538000.0,,,192.0,14040.0,,8.0
Kuwait,Asia,100.0,19371000.0,0.0,2720500.0,915800.0,705500.0,0.0,19509907000.0,92.0
Kyrgyzstan,Asia,99.0,4626000.0,2287000.0,700.0,6996.0,2290.0,34280.0,25542000.0,7.0
Laos,Asia,100.0,9346000.0,16040000.0,0.0,,,17460.0,,40.0
Latvia,Europe,100.0,3089000.0,0.0,1600.0,,16180.0,54370.0,0.0,8.0
Lebanon,Asia,100.0,3768000.0,0.0,0.0,,,151100.0,,25.0
Lesotho,Africa,50.0,74000.0,,0.0,,,5118.0,,736000.0
Liberia,Africa,29.0,196000.0,,0.0,,,8181.0,,1.0
Libya,Africa,70.0,10516000.0,,1252800.0,89620.0,16880.0,168200.0,12414736000.0,38.0
Liechtenstein,Europe,100.0,22921000.0,0.0,300.0,61550.0,7345.0,165100.0,0.0,38.0
Lithuania,Europe,100.0,3512000.0,0.0,4000.0,196500.0,174800.0,42490.0,0.0,14.0
Luxembourg,Europe,100.0,1899000.0,0.0,0.0,,,59020.0,0.0,11.0
Madagascar,Africa,35.0,587000.0,0.0,0.0,,,18880.0,,4.0
Malawi,Africa,14.0,618000.0,48000.0,0.0,,,4769.0,,1.0
Malaysia,Asia,100.0,34959000.0,2977000.0,593800.0,528300.0,208400.0,304600.0,74985350000.0,254.0
Maldives,Asia,100.0,545000.0,,0.0,,,10840.0,,2.0
Mali,Africa,53.0,890000.0,,0.0,,,20610.0,,5.0
Malta,Europe,100.0,784000.0,,0.0,,10400.0,52290.0,0.0,9.0
Marshall Is.,Oceania,99.0,,,,,,2060.0,,293700.0
Mauritania,Africa,47.0,656000.0,,0.0,,,17290.0,,4.0
Mauritius,Africa,,,,,,,,,
Mexico,North America,100.0,93430000.0,9886000.0,1905500.0,844600.0,155800.0,867500.0,27037730000.0,463.0
Federated States Of Micronesia,Oceania,83.0,,,,,,,,177000.0
Moldova,Europe,100.0,594000.0,0.0,0.0,232.0,275.0,18160.0,57000.0,8.0
Monaco,Europe,100.0,,,,,,,,
Mongolia,Asia,100.0,1479000.0,43904000.0,16700.0,,,24190.0,,22.0
Montenegro,Europe,99.0,1006999.0,1456000.0,0.0,,357.0,6448.0,,2.0
Morocco,Africa,100.0,14187000.0,0.0,0.0,66230.0,9504.0,229300.0,105678000.0,60.0
Mozambique,Africa,31.0,2765000.0,7250000.0,0.0,,,25130.0,5423828000.0,7.0
Namibia,Africa,,,,,,,,,
Nauru,Oceania,100.0,15000.0,,0.0,,,449.0,,66000.0
Nepal,Asia,89.0,1392000.0,28000.0,0.0,,,26120.0,,7.0
Netherlands,Europe,100.0,43409000.0,1879000.0,76100.0,1.0,2.0,,32857999999.0,214.0
New Zealand,Oceania,,,,,,,,,
Nicaragua,North America,86.0,1837000.0,,200.0,14720.0,460.0,20120.0,,4.0
Niger,Africa,18.0,324000.0,224000.0,8000.0,15280.0,5422.0,3799.0,,2.0
Nigeria,Africa,59.0,11691000.0,44000.0,1646900.0,35010.0,2332.0,223400.0,46296835000.0,104.0
North Macedonia,Europe,100.0,1928000.0,5026000.0,0.0,,3065.0,23560.0,0.0,7.0
Norway,Europe,100.0,38360000.0,69000.0,,371600.0,432800.0,135300.0,112052523000.0,36.0
Oman,Asia,100.0,8601000.0,0.0,978800.0,229600.0,33700.0,6041.0,36596746000.0,76.0
Pakistan,Asia,94.0,39925000.0,4855000.0,100700.0,291200.0,25510.0,264500.0,38056250000.0,193.0
Palau,Oceania,100.0,,,,,,,,
Panama,North America,95.0,4106000.0,0.0,0.0,,66.0,129200.0,0.0,25.0
Papua New Guinea,Oceania,20.0,1139000.0,,37200.0,22170.0,0.0,17110.0,11784065000.0,6.0
Paraguay,South America,100.0,8831000.0,,2000.0,,,40760.0,,7.0
Peru,South America,95.0,15340000.0,696000.0,122500.0,166600.0,62640.0,65400.0,12079211000.0,54.0
Philippines,Asia,97.0,27885000.0,13752000.0,10300.0,215500.0,26710.0,211400.0,3632507000.0,142.0
Poland,Europe,100.0,47269000.0,108152000.0,28400.0,554200.0,104800.0,222300.0,5667000000.0,304.0
Portugal,Europe,100.0,22364000.0,0.0,8000.0,323000.0,143500.0,78700.0,0.0,50.0
Qatar,Asia,100.0,10633000.0,,1815100.0,273800.0,485000.0,12300.0,167460996000.0,111.0
Romania,Europe,100.0,20528000.0,15002000.0,74000.0,232600.0,103000.0,49420.0,10367941000.0,68.0
Russia,Europe,100.0,255000000.0,411200000.0,10850000.0,6171000.0,3070000.0,45000.0,598600000000.0,1985000000.0
Rwanda,Africa,48.0,265000.0,,0.0,,,6628.0,,1.0
Saint Kitts And Nevis,North America,100.0,71000.0,,0.0,,,1743.0,,268000.0
