Country,Continent,Area_Total,Highest_Elevation,Lowest_Elevation,Forest_Land,Other_Land,Agricultural_Land,Arable_Land_percent
Afghanistan,Asia,"652,230 sq km","7,492 m",258 m,1.8%,40.1%,58.1%,11.8%
Albania,Europe,"28,748 sq km","2,764 m",0 m,28.8%,28.2%,42.8%,22.3%
Algeria,Africa,"2,381,740 sq km","2,908 m",-40 m,0.8%,81.8%,17.4%,3.2%
Andorra,Europe,468 sq km,"2,946 m",840 m,34%,26%,40%,1.7%
Angola,Africa,"1,246,700 sq km","2,620 m",0 m,54.3%,,45.7%,3.9%
Antigua And Barbuda,North America,443 sq km,402 m,0 m,18.8%,60.8%,20.5%,9%
Argentina,South America,"2,780,400 sq km",,-105 m,10.7%,35.4%,53.9%,13.9%
Armenia,Asia,"29,743 sq km","4,090 m",400 m,9.1%,31.2%,59.7%,15.8%
Australia,Oceania,"7,741,220 sq km","2,228 m",-15 m,17.42%,33.42%,46.65%,4.03%
Austria,Europe,"83,871 sq km","3,798 m",115 m,47.2%,14.4%,38.4%,16.5%
Azerbaijan,Asia,"86,600 sq km","4,466 m",-28 m,11.3%,31.1%,57.6%,22.8%
Bahamas,North America,"13,880 sq km",64 m,0 m,51.4%,47.2%,1.4%,0.8%
Bahrain,Asia,760 sq km,135 m,0 m,0.7%,88%,11.3%,2.1%
Bangladesh,Asia,"148,460 sq km","1,060 m",0 m,11.1%,18.8%,70.1%,59%
Barbados,North America,430 sq km,336 m,0 m,19.4%,48%,32.6%,25.6%
Belarus,Europe,"207,600 sq km",346 m,90 m,42.7%,13.6%,43.7%,27.2%
Belgium,Europe,"30,528 sq km",694 m,0 m,22.4%,33.5%,44.1%,27.2%
Belize,North America,"22,966 sq km","1,124 m",0 m,60.6%,32.5%,6.9%,3.3%
Benin,Africa,"112,622 sq km",,0 m,40%,28.7%,31.3%,22.9%
Bhutan,Asia,"38,394 sq km","7,570 m",97 m,85.5%,0.9%,13.6%,2.6%
Bolivia,South America,"1,098,581 sq km","6,542 m",90 m,52.5%,13.2%,34.3%,3.6%
Bosnia and Herz.,Europe,"51,197 sq km","2,386 m",0 m,42.8%,15%,42.2%,19.7%
Botswana,Africa,"581,730 sq km","1,495 m",513 m,19.8%,34.4%,45.8%,0.6%
Brazil,South America,"8,515,770 sq km","2,994 m",0 m,61.9%,5.2%,32.9%,8.6%
Brunei,Asia,"5,765 sq km","1,850 m",0 m,71.8%,25.7%,2.5%,0.8%
Bulgaria,Europe,"110,879 sq km","2,925 m",0 m,36.7%,16.4%,46.9%,29.9%
Burkina Faso,Africa,"274,200 sq km",749 m,200 m,19.3%,36.5%,44.2%,22%
Burundi,Africa,"27,830 sq km","2,685 m",772 m,6.6%,20.1%,73.3%,38.9%
Cabo Verde,Africa,"4,033 sq km","2,829 m",0 m,21%,60.4%,18.6%,11.7%
Cambodia,Asia,"181,035 sq km","1,810 m",0 m,56.5%,11.4%,32.1%,22.7%
Cameroon,Africa,"475,440 sq km","4,045 m",0 m,41.7%,37.7%,20.6%,13.1%
Canada,North America,"9,984,670 sq km","5,959 m",0 m,34.1%,59.1%,6.8%,4.7%
Central African Rep.,Africa,"622,984 sq km","1,410 m",335 m,36.2%,55.7%,8.1%,2.9%
Chad,Africa,1.284 million sq km,"3,445 m",160 m,9.1%,51.3%,39.6%,3.9%
Chile,South America,"756,102 sq km","6,893 m",0 m,21.9%,57%,21.1%,1.7%
China,Asia,"9,596,960 sq km","8,849 m",-154 m,22.3%,23%,54.7%,11.3%
Colombia,South America,"1,138,910 sq km","5,730 m",0 m,54.4%,8.1%,37.5%,1.4%
Comoros,Africa,"2,235 sq km","2,360 m",0 m,1.4%,14.2%,84.4%,46.7%
Dem. Rep. Congo,Africa,"2,344,858 sq km","5,110 m",0 m,,,,
Congo,Africa,"342,000 sq km","1,020 m",0 m,65.6%,3.3%,31.1%,1.6%
Costa Rica,North America,"322,463 sq km","1,752 m",0 m,32.7%,2.5%,64.8%,9.1%
Croatia,Europe,"56,594 sq km","1,831 m",0 m,34.4%,41.9%,23.7%,16%
Cuba,North America,"110,860 sq km","1,974 m",0 m,27.3%,12.4%,60.3%,33.8%
Cyprus,Europe,"9,251 sq km","1,951 m",0 m,18.8%,67.8%,13.4%,9.8%
Czechia,Europe,"78,867 sq km","1,602 m",115 m,34.4%,10.8%,54.8%,41%
Denmark,Europe,"43,094 sq km",171 m,-7 m,12.9%,23.7%,63.4%,58.9%
Djibouti,Africa,"23,200 sq km","2,021 m",-155 m,0.2%,26.4%,73.4%,0.1%
Dominica,North America,751 sq km,"1,447 m",0 m,59.2%,6.1%,34.7%,8%
Dominican Rep.,North America,"48,670 sq km","3,098 m",-46 m,40.8%,7.7%,51.5%,16.6%
Ecuador,South America,"283,561 sq km",,0 m,38.9%,31.4%,29.7%,4.7%
Egypt,Africa,"1,001,450 sq km","2,629 m",-133 m,0.1%,96.3%,3.6%,2.8%
El Salvador,North America,"21,041 sq km","2,730 m",0 m,13.6%,11.7%,74.7%,33.1%
Eq. Guinea,Africa,"28,051 sq km","3,008 m",0 m,57.5%,32.4%,10.1%,4.3%
Eritrea,Africa,"117,600 sq km","3,018 m",-75 m,15.1%,9.8%,75.1%,6.8%
Estonia,Europe,"45,228 sq km",318 m,0 m,52.1%,25.7%,22.2%,14.9%
eSwatini,Africa,"17,364 sq km","1,862 m",21 m,31.7%,0%,68.3%,9.8%
Ethiopia,Africa,"1,104,300 sq km","4,550 m",-125 m,12.2%,51.5%,36.3%,15.2%
Fiji,Oceania,"18,274 sq km","1,324 m",0 m,55.7%,21%,23.3%,9%
Finland,Europe,"338,145 sq km","1,328 m",0 m,72.9%,19.6%,7.5%,7.4%
France,Europe,"643,801 sq km",,-2 m,29.2%,18.1%,52.7%,33.4%
Gabon,Africa,"267,667 sq km","1,050 m",0 m,81%,0%,19%,1.2%
Gambia,Africa,"11,300 sq km",,0 m,43.9%,0%,56.1%,41%
Georgia,Asia,"69,700 sq km","5,193 m",0 m,39.4%,25.1%,35.5%,5.8%
Germany,Europe,"357,022 sq km","2,963 m",-3.5 m,31.8%,20.2%,48%,34.1%
Ghana,Africa,"238,533 sq km",885 m,0 m,21.2%,9.7%,69.1%,20.7%
Greece,Europe,"131,957 sq km",,0 m,30.5%,6.1%,63.4%,19.7%
Grenada,North America,344 sq km,840 m,0 m,50%,17.7%,32.3%,8.8%
Guatemala,North America,"108,889 sq km","4,220 m",0 m,33.6%,25.2%,41.2%,14.2%
Guinea,Africa,"245,857 sq km","1,752 m",0 m,26.5%,15.4%,58.1%,11.8%
Guinea-Bissau,Africa,"36,125 sq km",277 m,0 m,55.2%,0%,44.8%,8.2%
Guyana,South America,"214,969 sq km","2,775 m",0 m,77.4%,14.2%,8.4%,2.1%
Haiti,North America,"27,750 sq km","2,680 m",0 m,3.6%,64.1%,66.4%,38.5%
Vatican,Europe,0 sq km,78 m,19 m,,100%,0%,
Honduras,North America,"112,090 sq km","2,870 m",0 m,45.3%,25.9%,28.8%,9.1%
Hungary,Europe,"93,028 sq km","1,014 m",78 m,22.5%,18.6%,58.9%,48.5%
Iceland,Europe,"103,000 sq km","2,110 m",0 m,0.3%,81%,18.7%,1.2%
India,Asia,"3,287,263 sq km","8,586 m",0 m,23.1%,16.4%,60.5%,52.8%
Indonesia,Asia,"1,904,569 sq km","4,884 m",0 m,51.7%,17.1%,31.2%,13%
Iran,Asia,"1,648,195 sq km","5,625 m",-28 m,6.8%,63.1%,30.1%,10.8%
Iraq,Asia,"438,317 sq km","3,611 m",0 m,1.9%,80%,18.1%,8.4%
Ireland,Europe,"70,273 sq km","1,041 m",0 m,10.9%,23%,66.1%,15.4%
Israel,Asia,"21,937 sq km",,-431 m,7.1%,69.1%,23.8%,13.7%
Italy,Europe,"301,340 sq km","4,748 m",0 m,31.4%,21.5%,47.1%,22.8%
Jamaica,North America,"10,991 sq km","2,256 m",0 m,31.1%,27.5%,41.4%,11.1%
Japan,Asia,"377,915 sq km","3,776 m",-4 m,68.5%,19%,12.5%,11.7%
Jordan,Asia,"89,342 sq km","1,854 m",-431 m,1.1%,87.5%,11.4%,2%
Kazakhstan,Asia,"2,724,900 sq km","7,010 m",-132 m,1.2%,21.4%,77.4%,8.9%
Kenya,Africa,"580,367 sq km","5,199 m",0 m,6.1%,45.8%,48.1%,9.8%
Kiribati,Oceania,811 sq km,81 m,0 m,15%,43%,42%,2.5%
North Korea,Asia,"120,538 sq km","2,744 m",0 m,46%,32.2%,21.8%,19.5%
South Korea,Asia,"99,720 sq km","1,950 m",0 m,63.9%,18%,18.1%,15.3%
Kosovo,Europe,"10,887 sq km","2,656 m",297 m,41.7%,5.5%,52.8%,27.4%
Kuwait,Asia,"17,818 sq km",300 m,0 m,0.4%,91.1%,8.5%,0.6%
Kyrgyzstan,Asia,"199,951 sq km","7,439 m",132 m,5.1%,39.5%,55.4%,6.7%
Laos,Asia,"236,800 sq km","2,817 m",70 m,67.9%,21.5%,10.6%,6.2%
Latvia,Europe,"64,589 sq km",312 m,0 m,54.1%,16.7%,29.2%,18.6%
Lebanon,Asia,"10,400 sq km","3,088 m",0 m,13.4%,23.3%,63.3%,11.9%
Lesotho,Africa,"30,355 sq km","3,482 m","1,400 m",1.5%,22.4%,76.1%,10.1%
Liberia,Africa,"111,369 sq km","1,447 m",0 m,44.6%,27.3%,28.1%,5.2%
Libya,Africa,"1,759,540 sq km","2,267 m",-47 m,0.1%,91.1%,8.8%,1%
Liechtenstein,Europe,160 sq km,"2,599 m",430 m,43.1%,19.3%,37.6%,18.8%
Lithuania,Europe,"65,300 sq km",294 m,0 m,34.6%,20.6%,44.8%,34.9%
Luxembourg,Europe,"2,586 sq km",559 m,133 m,33.5%,15.8%,50.7%,24%
Madagascar,Africa,"587,041 sq km","2,876 m",0 m,21.5%,7.4%,71.1%,6%
Malawi,Africa,"118,484 sq km","3,002 m",37 m,34%,6.8%,59.2%,38.2%
Malaysia,Asia,"329,847 sq km","4,095 m",0 m,62%,14.8%,23.2%,2.9%
Maldives,Asia,298 sq km,5 m,0 m,3%,73.7%,23.3%,10%
Mali,Africa,"1,240,192 sq km","1,155 m",23 m,10.2%,55.7%,34.1%,5.6%
Malta,Europe,316 sq km,253 m,0 m,0.9%,66.8%,32.3%,28.4%
Marshall Is.,Oceania,181 sq km,14 m,0 m,49.3%,0%,50.7%,7.8%
Mauritania,Africa,"1,030,700 sq km",915 m,-5 m,0.2%,61.3%,38.5%,0.4%
Mauritius,Africa,"2,040 sq km",828 m,0 m,17.3%,38.9%,43.8%,38.4%
Mexico,North America,"1,964,375 sq km","5,636 m",-10 m,33.3%,11.8%,54.9%,11.8%
Federated States Of Micronesia,Oceania,702 sq km,782 m,0 m,74.5%,0%,25.5%,2.3%
Moldova,Europe,"33,851 sq km",430 m,2 m,11.9%,13.2%,74.9%,55.1%
Monaco,Europe,2 sq km,162 m,0 m,0%,99%,1%,0%
Mongolia,Asia,"1,564,116 sq km","4,374 m",560 m,7%,20%,73%,0.4%
Montenegro,Europe,"13,812 sq km","2,534 m",0 m,40.4%,21.4%,38.2%,12.9%
Morocco,Africa,"716,550 sq km","4,165 m",-59 m,11.5%,21%,67.5%,17.5%
Mozambique,Africa,"799,380 sq km","2,436 m",0 m,43.7%,0%,56.3%,6.4%
Namibia,Africa,"824,292 sq km","2,573 m",0 m,8.8%,44%,47.2%,1%
Nauru,Oceania,21 sq km,70 m,0 m,0%,80%,20%,0%
Nepal,Asia,"147,181 sq km","8,849 m",70 m,25.4%,45.8%,28.8%,15.1%
Netherlands,Europe,"41,543 sq km",,-7 m,10.8%,34.1%,55.1%,29.8%
New Zealand,Oceania,"268,838 sq km","3,764 m",0 m,31.4%,25.4%,43.2%,1.8%
Nicaragua,North America,"130,370 sq km","2,085 m",0 m,25.3%,32.5%,42.2%,12.5%
Niger,Africa,1.267 million sq km,"2,022 m",200 m,1%,63.9%,35.1%,12.3%
Nigeria,Africa,"923,768 sq km","2,419 m",0 m,9.5%,12.5%,78%,37.3%
